transaction_id,name,type,amount,date
112710d1-f3e7-48cb-8110-e22431863e6f,TESCO STORES,outflow,1.75,2025-01-29T00:00:00Z
174ce6cf-0de0-4654-a447-ed879b7f7cef,NOTRE DAME 6TH FOR,outflow,2.5,2025-01-15T00:00:00Z
1c95f5ad-7659-40df-8aed-8b3e8f9ec163,ICELAND 1508,outflow,2,2025-01-06T00:00:00Z
1ce36e8c-3e1f-411a-8959-47619e3f439e,TESCO STORES 5597,outflow,4.4,2025-01-17T00:00:00Z
30899946-3032-43ca-8124-0a719efdff11,NOTRE DAME 6TH FOR,outflow,1.5,2025-01-22T00:00:00Z
42535673-0501-4888-9bd1-26b495f1e409,NOTRE DAME 6TH FOR,outflow,2.5,2025-01-17T00:00:00Z
48592872-c549-4719-bd44-b96da0ce7d82,NOTRE DAME 6TH FOR,outflow,2.5,2025-01-23T00:00:00Z
4c2a4ed9-c96c-41d2-9167-4272de489e26,NOTRE DAME 6TH FOR,outflow,2.7,2025-01-27T00:00:00Z
5acd7a1b-f2b9-4e09-b392-db26954ab595,NOTRE DAME 6TH FOR,outflow,3.4,2025-01-29T00:00:00Z
650c9136-db24-4f1d-b0d9-8c4b14765a60,JOLLIBEE,outflow,7.49,2025-01-16T00:00:00Z
66f86a3c-7392-4827-9781-fbeb1a3209ea,SAINSBURYS S/MKTS,outflow,2.25,2025-01-24T00:00:00Z
73fa83b0-7f45-4c37-abeb-5f041f7309ba,GREGGS,outflow,1.85,2025-01-09T00:00:00Z
74fbd902-d424-4f14-a6f5-17b819ef2efa,NOTRE DAME 6TH FOR,outflow,1.6,2025-01-08T00:00:00Z
85237099-eac8-4ffd-aa95-ff0159b589a9,NOTRE DAME 6TH FOR,outflow,5.1,2025-01-10T00:00:00Z
85fb56dd-97c8-4261-b040-bce27ee2e04e,NOTRE DAME 6TH FOR,outflow,2.6,2025-01-24T00:00:00Z
87507f46-a951-4662-bfe0-c0972a74fbf5,HOME BARGAINS,outflow,1.39,2025-01-13T00:00:00Z
87726ddd-a1d1-4c45-8f2f-f44bf0bc78af,SAINSBURYS S/MKTS,outflow,1.9,2025-01-22T00:00:00Z
89dbe949-9ff3-448e-a993-0d0fe43c1fb0,NOTRE DAME 6TH FOR,outflow,1.6,2025-01-27T00:00:00Z
8a4f7caf-7a2c-4134-aec1-bbebc48fe91d,NOTRE DAME 6TH FOR,outflow,1.6,2025-01-17T00:00:00Z
8d312690-a898-4e42-8f04-fb4917cf4571,TESCO STORES 5697,outflow,2.3,2025-01-17T00:00:00Z
900fe3c1-9cc3-4c2b-a931-0ee63edc471a,NOTRE DAME 6TH FOR,outflow,2.3,2025-01-14T00:00:00Z
92c9de0b-a1d6-48c8-ab88-030ec5979051,SAINSBURYS S/MKTS,outflow,1.75,2025-01-16T00:00:00Z
9635eae6-baba-4501-84ac-8451ed9bd306,SAINSBURYS S/MKTS,outflow,1.9,2025-01-29T00:00:00Z
ada97daa-f177-4a2d-a13e-066391ac13e2,NOTRE DAME 6TH FOR,outflow,2.5,2025-01-09T00:00:00Z
c8b74f4d-f8ed-47c8-b383-4b391ed98cef,KFC LEEDS MERRION,outflow,5.98,2025-01-23T00:00:00Z
ccd6f1f5-eb6a-4064-9a1c-7001958f371d,SAINSBURYS S/MKTS,outflow,1.65,2025-01-14T00:00:00Z
dbc88e9e-e16e-4a8a-a899-a0bbdfa33bb7,SumUp  *Eldon Cour,outflow,2.65,2025-01-31T00:00:00Z
eb698f25-614c-4b07-b08d-5f585d319f3f,NOTRE DAME 6TH FOR,outflow,2.5,2025-01-13T00:00:00Z
f1aa2ca7-c9d3-4ac1-acd8-712ac475b96a,NOTRE DAME 6TH FOR,outflow,2.7,2025-01-08T00:00:00Z
f52baa14-4eda-4495-b918-c227879a4c00,NOTRE DAME 6TH FOR,outflow,2.5,2025-01-20T00:00:00Z
